phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.4,0.09355710446834564,0.15303067862987518,-0.0046008676290512085,0.036701031029224396
test,0.6,0.02673611231148243,0.15093274414539337,-0.002502933144569397,0.12842713296413422
test,0.8,0.010686729103326797,0.1511501520872116,-0.0027203410863876343,0.28158843517303467
test,0.0,0.18715278804302216,0.15007136762142181,0.00021579861640930176,0.012162440456449986
test,0.01,0.12708334624767303,0.15007227659225464,0.00021488964557647705,0.017911354079842567
test,0.05,0.12067902088165283,0.1500730961561203,0.00021407008171081543,0.018861891701817513
test,0.1,0.11647377163171768,0.1500835418701172,0.00020362436771392822,0.019542895257472992
test,0.2,0.11037809401750565,0.15005028247833252,0.0002368837594985962,0.02062216028571129
test,0.4,0.09382716566324234,0.14991843700408936,0.00036872923374176025,0.024259869009256363
test,0.6,0.033179014921188354,0.15087255835533142,-0.0005853921175003052,0.06395348906517029
test,0.8,0.012345679104328156,0.15069209039211273,-0.0004049241542816162,0.125
test,0.0,0.19436728954315186,0.13567596673965454,-0.0061446428298950195,0.0045653036795556545
test,0.01,0.11331018805503845,0.13567347824573517,-0.006142154335975647,0.007831119932234287
test,0.05,0.10513117909431458,0.13563597202301025,-0.006104648113250732,0.008440366946160793
test,0.1,0.10108025372028351,0.13564325869083405,-0.006111934781074524,0.008778626099228859
test,0.2,0.09483025223016739,0.1356019675731659,-0.006070643663406372,0.009357200935482979
test,0.4,0.07770062237977982,0.135505810379982,-0.005974486470222473,0.011420059949159622
test,0.6,0.0128858033567667,0.12977571785449982,-0.0002443939447402954,0.05988023802638054
test,0.8,0.004938271827995777,0.1296079009771347,-7.65770673751831e-05,0.140625
test,0.0,0.19490741193294525,0.13054735958576202,0.004447430372238159,0.0033650039695203304
test,0.01,0.11983025074005127,0.1305534392595291,0.004441350698471069,0.005473277531564236
test,0.05,0.11512346565723419,0.13056865334510803,0.004426136612892151,0.00569705106317997
test,0.1,0.11153549700975418,0.13057662546634674,0.004418164491653442,0.005880318116396666
test,0.2,0.10358797013759613,0.13075368106365204,0.0042411088943481445,0.006331471260637045
test,0.4,0.0827932134270668,0.13123966753482819,0.003755122423171997,0.007921715267002583
