sequence_id,frame_id,probe_bucket,target_mask_priority,disparity_mae,bad_3px,depth_mae,boundary_disp_mae_px,raw_temporal_disp_diff_px,samepixel_temporal_motion_mismatch_px,samepixel_temporal_error_variation_px,valid_pixel_pct
dataset_5_keyframe_3,001042,high_boundary_error,boundary_artifact_mask,58.272325974456315,98.34858327121407,10.652845339224061,118.54755401611328,4.866006851196289,5.125842094421387,7.637537956237793,0.18627471923828126
dataset_5_keyframe_3,001041,high_boundary_error,boundary_artifact_mask,53.992125287797535,96.86058400624744,9.691123520557019,116.91687774658203,5.2420525550842285,4.685256004333496,8.195632934570312,0.18953094482421876
dataset_7_keyframe_3,000048,high_boundary_error,boundary_artifact_mask,49.77327670368274,50.534789589127826,9.25453379317723,116.60383605957031,5.478102684020996,5.9539337158203125,6.80014181137085,0.16869735717773438
dataset_5_keyframe_3,001044,high_boundary_error,boundary_artifact_mask,54.91139539640547,97.27156963029455,9.305146436116129,114.46925354003906,7.123780250549316,6.513254642486572,9.766319274902344,0.18273544311523438
dataset_5_keyframe_2,000417,high_boundary_error,boundary_artifact_mask,82.0103994120787,99.8083398672015,15.744382434173072,112.84291076660156,57.48933792114258,55.32534408569336,38.20792007446289,0.20142288208007814
dataset_5_keyframe_3,000789,high_boundary_error,boundary_artifact_mask,37.60181140032172,91.41238941735101,9.669883956971278,111.42627716064453,19.582962036132812,17.830167770385742,18.898534774780273,0.29339141845703126
dataset_7_keyframe_3,000046,high_boundary_error,boundary_artifact_mask,48.385638160337535,56.26427898718891,9.007349693096772,111.02228546142578,4.9940185546875,6.198750019073486,6.9334821701049805,0.16930923461914063
dataset_5_keyframe_3,001040,high_boundary_error,boundary_artifact_mask,49.06581356130812,95.48982663206418,8.598253191653432,110.2000503540039,3.933126926422119,4.7450714111328125,6.571791648864746,0.19314651489257811
dataset_7_keyframe_3,000047,high_boundary_error,boundary_artifact_mask,47.010187457127174,49.676540380572575,8.851815789838213,110.16661834716797,3.9231011867523193,4.854098320007324,5.333450794219971,0.16911773681640624
dataset_7_keyframe_3,000053,high_boundary_error,boundary_artifact_mask,45.794721339482265,40.75374107757527,9.36389202509908,109.72586059570312,4.7061686515808105,5.493617534637451,6.006770133972168,0.168450927734375
dataset_7_keyframe_3,000055,high_boundary_error,boundary_artifact_mask,45.779213352699195,39.29699467255893,9.543216649060277,109.19013977050781,2.9608891010284424,3.7997400760650635,4.238455772399902,0.16884384155273438
dataset_5_keyframe_3,001045,high_boundary_error,boundary_artifact_mask,62.62950714351201,99.99959400095815,11.808268933703024,109.04925537109375,14.046024322509766,13.890642166137695,14.48307991027832,0.18791656494140624
dataset_7_keyframe_3,000054,high_boundary_error,boundary_artifact_mask,45.4908879678559,41.34974878920925,9.514046798367286,108.86862182617188,3.5393075942993164,4.2441229820251465,4.58545446395874,0.16855621337890625
