dataset,authorization,raw_wrong,incorrect_authorization,pc1,pc2
CREStereo,0.0,0.0,0.0,-5.160199,-1.4313855
CREStereo,1.0,1.0,0.0,3.4738479,-5.278655
CREStereo,0.0,0.0,0.0,-5.86496,-1.3892263
CREStereo,1.0,1.0,0.0,0.7677269,-5.2484035
CREStereo,0.0,0.0,0.0,-8.028627,2.6409771
CREStereo,0.0,1.0,0.0,-2.944963,-2.6497784
CREStereo,0.0,0.0,0.0,-5.506578,-2.0275986
CREStereo,0.0,0.0,0.0,-5.3287425,0.18753597
CREStereo,0.0,0.0,0.0,-8.089947,2.6112711
CREStereo,0.0,0.0,0.0,-6.611278,0.85350144
CREStereo,0.0,0.0,0.0,-4.798387,-2.245459
CREStereo,0.0,1.0,0.0,-5.4303803,1.0394114
CREStereo,0.0,0.0,0.0,-7.950937,2.5652447
CREStereo,0.0,0.0,0.0,-4.786136,-1.9664053
CREStereo,0.0,0.0,0.0,-7.805085,0.9693836
CREStereo,0.0,0.0,0.0,-3.6160216,-0.92721677
CREStereo,0.0,1.0,0.0,-1.7569432,-3.0592089
CREStereo,0.0,0.0,0.0,-5.8151555,-0.5429908
CREStereo,0.0,0.0,0.0,-4.3794627,-2.3495665
CREStereo,0.0,0.0,0.0,-7.4836035,1.9576322
CREStereo,0.0,0.0,0.0,-2.1718757,-1.1008223
CREStereo,0.0,0.0,0.0,-6.527096,1.429544
CREStereo,0.0,0.0,0.0,-5.1153913,0.6826471
CREStereo,0.0,0.0,0.0,-4.9339123,-0.19370344
CREStereo,0.0,0.0,0.0,-8.173565,1.899809
CREStereo,0.0,0.0,0.0,-7.480515,1.8029886
CREStereo,0.0,0.0,0.0,-4.7894874,-2.098535
CREStereo,0.0,0.0,0.0,-8.166868,2.457879
CREStereo,0.0,0.0,0.0,-2.933695,-0.31870395
CREStereo,1.0,0.0,1.0,-0.50405455,-5.8103557
CREStereo,0.0,1.0,0.0,-1.9533324,-2.4516082
CREStereo,0.0,0.0,0.0,-3.7272375,-0.47568485
CREStereo,0.0,0.0,0.0,-6.171123,-0.23823231
CREStereo,0.0,0.0,0.0,-4.212469,0.3550689
CREStereo,0.0,0.0,0.0,-5.7432156,-1.0376881
CREStereo,0.0,0.0,0.0,-4.796362,-1.114292
CREStereo,0.0,0.0,0.0,-8.316654,2.4846942
CREStereo,0.0,0.0,0.0,-5.790837,-0.878878
CREStereo,0.0,0.0,0.0,-4.990584,-1.6633307
CREStereo,0.0,0.0,0.0,-6.7829056,1.5168417
CREStereo,0.0,0.0,0.0,-2.3288975,-3.6349843
CREStereo,0.0,0.0,0.0,-6.0335293,1.1790178
CREStereo,1.0,0.0,1.0,6.9458804,-0.019738108
CREStereo,0.0,0.0,0.0,-5.3223004,0.5223267
CREStereo,0.0,0.0,0.0,-4.6780124,-1.938954
CREStereo,0.0,0.0,0.0,-4.7861266,-0.13123634
CREStereo,0.0,0.0,0.0,-4.253284,-3.431096
CREStereo,0.0,0.0,0.0,-5.8544555,0.5825734
CREStereo,0.0,0.0,0.0,-7.9843035,2.5713282
CREStereo,0.0,0.0,0.0,-5.401898,0.026711881
CREStereo,0.0,0.0,0.0,-4.1204195,-0.16432562
CREStereo,0.0,0.0,0.0,-5.435825,-0.09324214
CREStereo,0.0,0.0,0.0,-5.1750526,-2.104888
CREStereo,0.0,0.0,0.0,-3.4858885,-0.33850646
CREStereo,1.0,1.0,0.0,1.0426879,-5.3475075
CREStereo,0.0,0.0,0.0,-6.6308146,0.97213423
CREStereo,0.0,0.0,0.0,-6.2438636,1.2705334
CREStereo,1.0,0.0,1.0,4.68671,-3.8959966
CREStereo,0.0,0.0,0.0,-6.7305,1.4282066
CREStereo,0.0,0.0,0.0,-5.151189,-0.81744325
CREStereo,0.0,0.0,0.0,-8.199807,1.9860142
CREStereo,0.0,0.0,0.0,-4.3270173,-0.019285947
CREStereo,0.0,0.0,0.0,-7.509058,1.2127488
CREStereo,0.0,0.0,0.0,-5.4525857,-0.6615747
CREStereo,0.0,1.0,0.0,-2.6889863,-2.6294339
CREStereo,0.0,0.0,0.0,-8.951885,1.9647177
CREStereo,1.0,1.0,0.0,2.4131598,-3.5085974
CREStereo,0.0,1.0,0.0,-4.2680736,-1.3268327
CREStereo,0.0,0.0,0.0,-4.645442,-1.8466603
CREStereo,0.0,0.0,0.0,-7.863471,2.191542
CREStereo,0.0,0.0,0.0,-8.645439,3.305726
CREStereo,0.0,0.0,0.0,-8.940693,2.8646555
CREStereo,0.0,0.0,0.0,-5.7954984,1.0493969
CREStereo,1.0,0.0,1.0,3.4369464,-3.9352345
CREStereo,0.0,0.0,0.0,-4.2065287,-1.5728058
CREStereo,0.0,0.0,0.0,-8.126795,2.371786
CREStereo,0.0,0.0,0.0,-4.7612042,-0.36957145
CREStereo,0.0,0.0,0.0,-3.924884,-0.061041594
CREStereo,0.0,0.0,0.0,-8.621271,2.490212
CREStereo,0.0,0.0,0.0,-5.807925,0.45335546
CREStereo,0.0,0.0,0.0,-8.243872,2.0804753
CREStereo,0.0,0.0,0.0,-6.3580008,1.2147714
CREStereo,0.0,0.0,0.0,-8.756097,2.876741
CREStereo,0.0,1.0,0.0,-1.8841054,-2.912996
CREStereo,1.0,1.0,1.0,-0.43210363,-3.2081742
CREStereo,0.0,0.0,0.0,-4.7886405,0.29633972
CREStereo,0.0,0.0,0.0,-6.6071324,0.9103395
CREStereo,0.0,0.0,0.0,-7.6702576,1.4089088
CREStereo,0.0,0.0,0.0,-4.6262755,-0.06470367
CREStereo,1.0,1.0,0.0,13.4793,-1.9918461
CREStereo,0.0,1.0,0.0,-0.9995396,-2.2787378
CREStereo,0.0,0.0,0.0,-5.646355,-1.2106347
CREStereo,0.0,0.0,0.0,-6.563237,1.239086
CREStereo,0.0,0.0,0.0,-5.6422477,-1.2206123
CREStereo,0.0,0.0,0.0,-3.86978,-1.8712481
CREStereo,0.0,0.0,0.0,-4.690473,-1.5640523
CREStereo,0.0,0.0,0.0,-7.5975437,1.9729315
CREStereo,0.0,0.0,0.0,-4.933664,-1.6618115
CREStereo,0.0,0.0,0.0,-7.781512,1.299642
CREStereo,0.0,0.0,0.0,-5.098773,-1.4856023
CREStereo,1.0,1.0,0.0,4.4267545,-5.3223205
CREStereo,0.0,1.0,0.0,-4.490465,-0.42139664
CREStereo,0.0,0.0,0.0,-5.430768,0.43784747
CREStereo,0.0,0.0,0.0,-10.770222,3.8402333
CREStereo,0.0,0.0,0.0,-3.2184901,-0.6381972
CREStereo,0.0,1.0,0.0,-2.4852495,-1.4577202
CREStereo,0.0,1.0,0.0,-1.6125398,-1.3483636
CREStereo,0.0,1.0,0.0,-7.194285,1.5908785
CREStereo,0.0,0.0,0.0,-7.961767,2.1428583
CREStereo,0.0,0.0,0.0,-7.385323,1.3337033
CREStereo,0.0,0.0,0.0,-5.210989,0.3313407
CREStereo,0.0,0.0,0.0,-7.9074187,2.0702944
CREStereo,0.0,0.0,0.0,-7.773636,1.1745461
CREStereo,0.0,0.0,0.0,-1.8128259,-2.6749673
CREStereo,0.0,0.0,0.0,-7.6103015,1.9409834
CREStereo,0.0,0.0,0.0,-1.9359064,-1.745507
CREStereo,0.0,0.0,0.0,-4.877096,-0.62273616
CREStereo,0.0,0.0,0.0,-7.9132338,1.5681492
CREStereo,0.0,0.0,0.0,-6.167965,-0.6764834
CREStereo,0.0,0.0,0.0,-5.074125,-2.027029
CREStereo,0.0,0.0,0.0,-3.8740797,-0.49919567
CREStereo,0.0,0.0,0.0,-6.1662574,-0.99051964
CREStereo,0.0,0.0,0.0,-3.2122679,-0.739849
CREStereo,0.0,0.0,0.0,-5.6467,-1.1950314
CREStereo,0.0,0.0,0.0,-7.24689,0.34868738
CREStereo,0.0,0.0,0.0,-5.482485,-0.5067894
CREStereo,1.0,0.0,1.0,-1.4344244,-1.2127076
CREStereo,0.0,0.0,0.0,-8.078797,1.9875191
CREStereo,0.0,0.0,0.0,-6.5869284,-0.30740392
CREStereo,0.0,0.0,0.0,-1.5669861,-1.4119518
CREStereo,0.0,0.0,0.0,-8.215649,2.010447
CREStereo,0.0,0.0,0.0,-8.575647,3.1080813
CREStereo,0.0,0.0,0.0,-6.986744,1.7220505
CREStereo,0.0,0.0,0.0,-6.420048,0.77476656
CREStereo,0.0,0.0,0.0,-4.931934,-0.40699977
CREStereo,0.0,0.0,0.0,-6.155694,-2.94059
CREStereo,0.0,1.0,0.0,20.287788,4.1530366
CREStereo,0.0,0.0,0.0,-5.4258404,0.7483771
CREStereo,0.0,0.0,0.0,-6.55793,1.6917022
CREStereo,0.0,1.0,0.0,-2.4712083,-0.77443945
CREStereo,0.0,0.0,0.0,-6.035374,-0.87768626
CREStereo,0.0,0.0,0.0,-2.8380926,-1.5847775
CREStereo,0.0,1.0,0.0,-1.9946561,-2.9316134
CREStereo,0.0,0.0,0.0,-6.2226944,-1.434165
CREStereo,0.0,0.0,0.0,-7.642734,1.7425624
CREStereo,0.0,0.0,0.0,-5.068378,-1.9565636
CREStereo,1.0,1.0,0.0,4.475864,-5.113311
CREStereo,0.0,0.0,0.0,-5.0869904,0.6183355
CREStereo,0.0,0.0,0.0,-6.2641973,0.98951495
CREStereo,0.0,0.0,0.0,-4.248904,-1.6543108
CREStereo,0.0,1.0,0.0,-3.2459264,-3.194654
CREStereo,0.0,0.0,0.0,-4.157853,0.26828888
CREStereo,0.0,0.0,0.0,-2.9210615,-0.4116838
CREStereo,0.0,0.0,0.0,-6.1197057,0.941774
CREStereo,0.0,0.0,0.0,-5.454566,-0.04940334
CREStereo,0.0,0.0,0.0,-6.741696,0.9828037
CREStereo,0.0,0.0,0.0,-4.4607153,-1.5649155
CREStereo,0.0,1.0,0.0,-6.3347006,0.021159261
CREStereo,0.0,0.0,0.0,-8.185034,2.5804827
CREStereo,0.0,0.0,0.0,-8.95524,2.5557735
CREStereo,1.0,1.0,0.0,1.8380413,-4.949259
CREStereo,0.0,1.0,0.0,-4.488044,-1.9923178
CREStereo,0.0,0.0,0.0,-8.007272,2.6842487
CREStereo,0.0,0.0,0.0,-6.089961,1.337026
CREStereo,0.0,0.0,0.0,-3.46275,-0.044575036
CREStereo,0.0,0.0,0.0,-6.187277,1.0849184
CREStereo,0.0,0.0,0.0,-7.399907,1.6280743
CREStereo,0.0,0.0,0.0,-2.585618,-1.9498758
CREStereo,0.0,0.0,0.0,-5.8331423,-1.4251621
CREStereo,0.0,0.0,0.0,-9.385723,2.3196967
CREStereo,0.0,0.0,0.0,-4.1419306,-3.1348982
CREStereo,0.0,0.0,0.0,-4.5677013,-2.1704087
CREStereo,0.0,0.0,0.0,-6.2006226,-1.0165063
CREStereo,0.0,0.0,0.0,-6.4184747,0.65488267
CREStereo,0.0,0.0,0.0,-2.5343258,-3.69211
CREStereo,0.0,0.0,0.0,-2.114265,-1.2037216
CREStereo,0.0,1.0,0.0,-2.4384055,-0.928933
CREStereo,0.0,0.0,0.0,-6.6920843,0.82458603
CREStereo,0.0,0.0,0.0,-8.016321,1.9850603
CREStereo,0.0,0.0,0.0,-4.9063373,-0.055161923
CREStereo,0.0,0.0,0.0,-3.422601,-1.3167986
CREStereo,1.0,1.0,0.0,3.925715,-4.182847
CREStereo,0.0,0.0,0.0,-5.3311095,-1.6458007
CREStereo,0.0,0.0,0.0,-9.466795,3.1412818
CREStereo,0.0,0.0,0.0,-4.75428,0.09526035
CREStereo,0.0,0.0,0.0,-8.029817,1.5487187
CREStereo,0.0,0.0,0.0,-6.2967486,-0.3909526
CREStereo,1.0,0.0,1.0,3.0536041,-4.483261
CREStereo,1.0,1.0,0.0,-0.55628777,-1.6540331
CREStereo,0.0,0.0,0.0,-3.336864,-0.30726913
CREStereo,0.0,1.0,0.0,-5.292269,0.7515036
CREStereo,0.0,0.0,0.0,-5.318116,-0.20838794
CREStereo,0.0,0.0,0.0,-8.19043,2.0932922
CREStereo,1.0,1.0,0.0,5.4085402,-3.4563951
CREStereo,1.0,1.0,0.0,10.902739,-3.3877442
CREStereo,0.0,0.0,0.0,-1.1584077,-2.09018
CREStereo,0.0,0.0,0.0,-9.221792,2.9991586
CREStereo,0.0,0.0,0.0,-5.771834,0.010297626
CREStereo,0.0,0.0,0.0,-4.0872135,-0.4980303
CREStereo,0.0,0.0,0.0,-4.158504,-2.2954476
CREStereo,0.0,0.0,0.0,-7.8284082,1.9344918
CREStereo,0.0,0.0,0.0,-3.7290459,-0.191082
CREStereo,0.0,0.0,0.0,-5.615309,0.9244534
CREStereo,0.0,0.0,0.0,-6.552415,1.4309443
CREStereo,0.0,0.0,0.0,-4.110414,-0.3363147
CREStereo,0.0,0.0,0.0,-4.408853,-2.539224
CREStereo,0.0,0.0,0.0,-4.739006,-2.4551563
CREStereo,0.0,0.0,0.0,-3.7610102,-0.97917235
CREStereo,0.0,0.0,0.0,-4.742084,-2.2298508
CREStereo,0.0,0.0,0.0,-6.61876,1.5574437
CREStereo,0.0,0.0,0.0,-8.669565,1.6376721
CREStereo,0.0,0.0,0.0,-3.967216,-2.263464
CREStereo,0.0,0.0,0.0,-9.492973,3.7680178
CREStereo,0.0,0.0,0.0,-6.618312,1.1730436
CREStereo,0.0,0.0,0.0,-6.978463,1.3624713
CREStereo,0.0,0.0,0.0,-7.417059,2.1493597
CREStereo,0.0,0.0,0.0,-5.041757,-2.0887957
CREStereo,0.0,0.0,0.0,-8.015388,2.4048069
CREStereo,0.0,0.0,0.0,-6.797675,1.4595648
CREStereo,0.0,0.0,0.0,-6.1661367,0.9387616
CREStereo,0.0,0.0,0.0,-7.570642,1.1733464
CREStereo,0.0,1.0,0.0,-4.705712,-0.4668532
CREStereo,0.0,0.0,0.0,-4.5395064,0.10737452
CREStereo,0.0,0.0,0.0,-9.859235,3.918089
CREStereo,1.0,1.0,1.0,8.685471,-2.8154721
CREStereo,0.0,1.0,0.0,-3.594616,-2.0110905
CREStereo,0.0,0.0,0.0,-4.193713,-0.5003821
CREStereo,0.0,0.0,0.0,-8.831187,2.898684
CREStereo,1.0,1.0,0.0,0.6731863,-3.8966615
CREStereo,0.0,0.0,0.0,-5.13368,0.69064236
CREStereo,0.0,0.0,0.0,-4.1512165,0.3320513
CREStereo,0.0,0.0,0.0,-8.131989,2.6371133
CREStereo,0.0,0.0,0.0,-5.825113,-0.980809
CREStereo,0.0,0.0,0.0,-8.948867,3.0005782
CREStereo,0.0,0.0,0.0,-7.7746854,1.8129598
CREStereo,0.0,1.0,0.0,-5.2412252,0.46821502
CREStereo,0.0,0.0,0.0,-5.580207,0.8501713
CREStereo,0.0,0.0,0.0,-8.188551,2.286357
CREStereo,0.0,1.0,0.0,-2.8711574,-3.5893598
CREStereo,0.0,0.0,0.0,-3.8102336,-0.80623245
CREStereo,0.0,0.0,0.0,-1.9358258,-3.471682
CREStereo,0.0,1.0,0.0,-7.3065634,1.8595673
CREStereo,0.0,0.0,0.0,-4.1492963,-2.724151
CREStereo,0.0,0.0,0.0,-2.9267533,-1.0978649
CREStereo,0.0,0.0,0.0,-8.319929,2.1291654
CREStereo,0.0,0.0,0.0,-7.407405,2.0770516
CREStereo,1.0,1.0,0.0,2.237656,-4.755836
CREStereo,0.0,0.0,0.0,-3.4009228,-2.5695891
