phase,sequence,backbone,frame_id,valid_count,raw_warped_disparity_difference,fused_warped_disparity_difference,raw_tepe,fused_tepe
test,dataset_7_keyframe_4,RAFT-Stereo,['000030'],1423,0.13425789773464203,0.07750054448843002,0.1534043401479721,0.1013118252158165
test,dataset_7_keyframe_4,RAFT-Stereo,['000030'],1505,0.16904152929782867,0.07971968501806259,0.18177790939807892,0.10263741761445999
test,dataset_7_keyframe_4,RAFT-Stereo,['000034'],1513,0.1443382054567337,0.1311250776052475,0.16259635984897614,0.15439529716968536
test,dataset_7_keyframe_4,RAFT-Stereo,['000034'],1469,0.16537588834762573,0.11292462795972824,0.17624589800834656,0.12789566814899445
test,dataset_7_keyframe_4,RAFT-Stereo,['000034'],1490,0.13077771663665771,0.0987500250339508,0.14906726777553558,0.1262841373682022
test,dataset_7_keyframe_4,RAFT-Stereo,['000034'],1441,0.11327512562274933,0.05024983733892441,0.12852652370929718,0.07221966981887817
test,dataset_7_keyframe_4,RAFT-Stereo,['000038'],1437,0.13002046942710876,0.11670305579900742,0.11013218760490417,0.1057066097855568
test,dataset_7_keyframe_4,RAFT-Stereo,['000038'],1358,0.14497816562652588,0.10294700413942337,0.13967742025852203,0.10781075805425644
test,dataset_7_keyframe_4,RAFT-Stereo,['000038'],1349,0.0859125480055809,0.047744762152433395,0.10351631045341492,0.07888234406709671
test,dataset_7_keyframe_4,RAFT-Stereo,['000038'],1334,0.13290080428123474,0.13067597150802612,0.1367599368095398,0.14156341552734375
test,dataset_7_keyframe_4,RAFT-Stereo,['000042'],1459,0.14216528832912445,0.09643042087554932,0.13835592567920685,0.10235729813575745
test,dataset_7_keyframe_4,RAFT-Stereo,['000042'],1496,0.10348471254110336,0.09969697892665863,0.1147930771112442,0.11366497725248337
test,dataset_7_keyframe_4,RAFT-Stereo,['000042'],1510,0.14769428968429565,0.12334229052066803,0.11220581829547882,0.09635917097330093
test,dataset_7_keyframe_4,RAFT-Stereo,['000042'],1634,0.1550278216600418,0.15246336162090302,0.112155482172966,0.1155274286866188
test,dataset_7_keyframe_4,RAFT-Stereo,['000046'],1848,0.10096558928489685,0.05122039467096329,0.09997857362031937,0.05790190026164055
test,dataset_7_keyframe_4,RAFT-Stereo,['000046'],1904,0.09804407507181168,0.0749092698097229,0.10616675764322281,0.08298419415950775
test,dataset_7_keyframe_4,RAFT-Stereo,['000046'],2049,0.09589152038097382,0.08103038370609283,0.10000506043434143,0.08617405593395233
test,dataset_7_keyframe_4,RAFT-Stereo,['000046'],2089,0.13478755950927734,0.11746547371149063,0.1280164271593094,0.11939304322004318
test,dataset_7_keyframe_4,RAFT-Stereo,['000050'],2270,0.1402388960123062,0.06262198090553284,0.13448427617549896,0.06398138403892517
test,dataset_7_keyframe_4,RAFT-Stereo,['000050'],2410,0.11771123856306076,0.05710874870419502,0.10812894999980927,0.05686885491013527
test,dataset_7_keyframe_4,RAFT-Stereo,['000050'],2530,0.09829578548669815,0.05937212333083153,0.0952310711145401,0.05784888565540314
test,dataset_7_keyframe_4,RAFT-Stereo,['000050'],2541,0.12965458631515503,0.122721828520298,0.10418715327978134,0.09706470370292664
