probability_threshold,utility_threshold_px,harm_threshold_px,coverage,precision,harmful_acceptance,harm_cost_fraction,net_utility,mean_selected_utility,clean_selection
0.6,0.0,0.5,0.001785467919187675,0.8357358364063023,0.11364398256788467,0.029593475352271442,0.003082092385739088,1.7262088060379028,0.05062018102581294
0.6,0.005,0.025,0.0017645187481613361,0.8368385345997287,0.11261872455902307,0.029201879763270544,0.0030688378028571606,1.7391915321350098,0.0505427408412483
0.6,0.005,0.05,0.0017842708237004556,0.8359610868835962,0.11372022811137203,0.029601995848383526,0.0030811787582933903,1.726854681968689,0.050318685005031866
0.6,0.005,0.1,0.0017845700975722605,0.835988596344122,0.11370115713566996,0.029594191560611525,0.0030820162501186132,1.7270344495773315,0.05031024652020795
0.6,0.005,0.25,0.0017845700975722605,0.835988596344122,0.11370115713566996,0.029594191560611525,0.0030820162501186132,1.7270344495773315,0.05031024652020795
0.6,0.005,0.5,0.0017845700975722605,0.835988596344122,0.11370115713566996,0.029594191560611525,0.0030820162501186132,1.7270344495773315,0.05031024652020795
0.6,0.01,0.025,0.0017615260094432878,0.836901121304791,0.1126401630988787,0.029193859309361275,0.0030685479287058115,1.7419817447662354,0.05045871559633028
0.6,0.01,0.05,0.0017812780849824073,0.8360215053763441,0.11374327956989247,0.029594051698172124,0.003080888884142041,1.729593276977539,0.05023521505376344
0.6,0.01,0.1,0.001781577358854212,0.8360490508987065,0.11372417268604065,0.029586245984937545,0.0030817261431366205,1.729772925376892,0.05022677641525281
0.6,0.01,0.25,0.001781577358854212,0.8360490508987065,0.11372417268604065,0.029586245984937545,0.0030817261431366205,1.729772925376892,0.05022677641525281
0.6,0.01,0.5,0.001781577358854212,0.8360490508987065,0.11372417268604065,0.029586245984937545,0.0030817261431366205,1.729772925376892,0.05022677641525281
0.6,0.02,0.025,0.0017462630419812408,0.8370179948586118,0.11276778063410454,0.029130783712042422,0.003066611709073186,1.7560985088348389,0.050214224507283634
0.6,0.02,0.05,0.0017660151175203603,0.8361294695814269,0.11387900355871886,0.029531535049675907,0.0030789526645094156,1.7434452772140503,0.04999152685985426
0.6,0.02,0.1,0.0017663143913921652,0.836157234835649,0.11385970857336496,0.029523740425641643,0.003079789923503995,1.7436237335205078,0.049983056590986105
0.6,0.02,0.25,0.0017663143913921652,0.836157234835649,0.11385970857336496,0.029523740425641643,0.003079789923503995,1.7436237335205078,0.049983056590986105
0.6,0.02,0.5,0.0017663143913921652,0.836157234835649,0.11385970857336496,0.029523740425641643,0.003079789923503995,1.7436237335205078,0.049983056590986105
0.6,0.05,0.025,0.0015846551512066274,0.842304060434372,0.11218130311614731,0.028149463540446448,0.0030442234128713608,1.9210638999938965,0.045514636449480644
0.6,0.05,0.05,0.0016035094051303322,0.8411720791340053,0.11347517730496454,0.02856364819002423,0.003055934328585863,1.9057786464691162,0.04535274356103024
0.6,0.05,0.1,0.001603808679002137,0.8412017167381974,0.11345400261242769,0.028556047343878652,0.0030567715875804424,1.9059451818466187,0.04534428064937488
0.6,0.05,0.25,0.001603808679002137,0.8412017167381974,0.11345400261242769,0.028556047343878652,0.0030567715875804424,1.9059451818466187,0.04534428064937488
0.6,0.05,0.5,0.001603808679002137,0.8412017167381974,0.11345400261242769,0.028556047343878652,0.0030567715875804424,1.9059451818466187,0.04534428064937488
0.6,0.1,0.025,0.001114196624729419,0.8729519204942251,0.0932044050496911,0.022030490590842812,0.0029589361511170864,2.6556692123413086,0.03384367445608381
0.6,0.1,0.05,0.0011255690318580029,0.8715767083222548,0.09438978994948152,0.0222162795156598,0.002969319000840187,2.638061285018921,0.03403350172826376
0.6,0.1,0.1,0.0011258683057298077,0.8716108452950558,0.09436469962785753,0.02221015557635686,0.00297015649266541,2.63810396194458,0.03402445507708666
0.6,0.1,0.25,0.0011258683057298077,0.8716108452950558,0.09436469962785753,0.02221015557635686,0.00297015649266541,2.63810396194458,0.03402445507708666
0.6,0.1,0.5,0.0011258683057298077,0.8716108452950558,0.09436469962785753,0.02221015557635686,0.00297015649266541,2.63810396194458,0.03402445507708666
0.7,0.0,0.025,0.0011237733886271738,0.8495339547270306,0.1033288948069241,0.020580368836812475,0.002890372183173895,2.5720248222351074,0.047137150466045274
0.7,0.0,0.05,0.001125269757986198,0.8497340425531915,0.10319148936170212,0.020534249133962713,0.002897000638768077,2.5744948387145996,0.04707446808510638
0.7,0.0,0.1,0.001125269757986198,0.8497340425531915,0.10319148936170212,0.020534249133962713,0.002897000638768077,2.5744948387145996,0.04707446808510638
0.7,0.0,0.25,0.001125269757986198,0.8497340425531915,0.10319148936170212,0.020534249133962713,0.002897000638768077,2.5744948387145996,0.04707446808510638
0.7,0.0,0.5,0.001125269757986198,0.8497340425531915,0.10319148936170212,0.020534249133962713,0.002897000638768077,2.5744948387145996,0.04707446808510638
0.7,0.005,0.025,0.0011237733886271738,0.8495339547270306,0.1033288948069241,0.020580368836812475,0.002890372183173895,2.5720248222351074,0.047137150466045274
0.7,0.005,0.05,0.001125269757986198,0.8497340425531915,0.10319148936170212,0.020534249133962713,0.002897000638768077,2.5744948387145996,0.04707446808510638
0.7,0.005,0.1,0.001125269757986198,0.8497340425531915,0.10319148936170212,0.020534249133962713,0.002897000638768077,2.5744948387145996,0.04707446808510638
