backbone,sequence,valid_count,utility_mean,utility_std,mean_positive_utility,mean_harm_magnitude,raw_wrong_a2_harmful_fraction,raw_clean_a2_helpful_fraction,helpful_fraction_eps_0.05,harmful_fraction_eps_0.05,indifferent_fraction_eps_0.05,helpful_fraction_eps_0.1,harmful_fraction_eps_0.1,indifferent_fraction_eps_0.1,helpful_fraction_eps_0.25,harmful_fraction_eps_0.25,indifferent_fraction_eps_0.25,helpful_fraction_eps_0.5,harmful_fraction_eps_0.5,indifferent_fraction_eps_0.5,pearson_utility_vs_raw_error,pearson_utility_vs_abs_update,pearson_utility_vs_abs_disagreement,pearson_utility_vs_flow_magnitude,pearson_utility_vs_photometric_residual,pearson_utility_vs_fb_error,pearson_utility_vs_fb_confidence
S2M2-S,dataset_2_keyframe_2,13585,-0.025357974659312856,0.05978386275757449,0.14897942780026385,0.12200429173589106,0.000998003992015968,0.0289234624621489,0.07405226352594774,0.29827015090172987,0.6276775855723224,0.03702613176297387,0.04666912035333088,0.9163047478836952,0.002134707397865293,0.004490246595509753,0.993375046006625,0.0,0.0001472211998527788,0.9998527788001472,0.1647801633362327,-0.16909876883854397,0.20708059306213467,0.13960744311323894,0.08735660893928082,-0.0028270151604889724,-0.0017348154639382617
RAFT-Stereo,dataset_2_keyframe_2,13585,-0.018890507501146573,0.05653066998282195,0.15797959293001637,0.14419239475221246,0.0005808325266214908,0.033847980997624705,0.07486198012513802,0.21302907618697092,0.712108943687891,0.04232609495767391,0.04365108575634891,0.9140228192859772,0.0019138755980861245,0.0005888847994111152,0.9974972396025028,0.0,0.0,1.0,0.21420086800352603,0.03211356545233697,0.21154251999547724,0.14907500919884248,0.07413523251827375,0.022323571586379858,-0.023554697740368075
StereoAnywhere,dataset_2_keyframe_2,13585,-0.01936896193935716,0.06476412736184514,0.179038186132172,0.13820817732109963,0.002270577105014191,0.028192771084337348,0.0715495031284505,0.23283032756716968,0.6956201693043799,0.043577475156422525,0.04608023555391976,0.9103422892896577,0.007802723592197277,0.000736105999263894,0.9914611704085389,0.001104158998895841,7.36105999263894e-05,0.9988222304011778,0.24565389652936082,0.27455998401532794,0.36897987707918634,0.13279692438127796,0.09891147979077378,0.012601443328128662,-0.017291258680755518
S2M2-S,dataset_2_keyframe_3,160095,0.01185209840259679,0.09000044876095988,0.1465283435906017,0.13541392643523759,0.0054097375275495895,0.07127297435931598,0.24339923170617445,0.1758518379712046,0.580748930322621,0.10117117961210531,0.040351041569068366,0.8584777788188264,0.021530965988944065,0.0032793029138948747,0.975189731097161,0.003254317748836628,0.00012492582529123334,0.9966207564258721,0.5102088252105754,0.5011051248350372,0.12808955308908665,0.12254082739981757,0.07578214849628857,0.14347860419794062,-0.13464453046465738
RAFT-Stereo,dataset_2_keyframe_3,160095,0.003994101701243991,0.1420643175703124,0.18244998984450905,0.16109918920636893,0.059323835849457794,0.06085381149254425,0.19899434710640557,0.20057465879633968,0.6004309940972548,0.09321340454105374,0.05041381679627721,0.856372778662669,0.029538711390112122,0.013554452044098816,0.956906836565789,0.006808457478372216,0.006614822449170805,0.986576720072457,0.34404477454585186,-0.12702403189186393,-0.1424072059976704,-0.010665732001191764,0.037535629349958494,0.009940254367048583,-0.005855299670619073
StereoAnywhere,dataset_2_keyframe_3,160095,0.020196059448676806,0.10791261507614583,0.1810615864021204,0.12542762304295105,0.006745487565323747,0.05917484261610349,0.23541647147006464,0.17881882632187138,0.585764702208064,0.12473843655329649,0.03310534370217683,0.8421562197445267,0.035360254848683596,0.004403635341515975,0.9602361098098005,0.007314407070801712,0.000655860582778975,0.9920297323464193,0.49457919059615035,0.4725535620133056,0.31184341497416673,-0.157085860064808,-0.01324985383089054,0.06536438586715528,-0.07223448498430911
S2M2-S,dataset_2_keyframe_4,293721,0.01867960996824341,0.04752256222613896,0.12024298014191521,0.125235699981275,0.004807181557420589,0.04087179627366062,0.2496110254288934,0.09050425403699429,0.6598847205341123,0.04281273725746542,0.00193721252481096,0.9552500502177236,0.0,3.4045914320052023e-06,0.999996595408568,0.0,0.0,1.0,0.01670207282531455,0.46071876404291057,0.04865222694047334,-0.12802497192685344,0.1654421851881415,0.004711483411131702,-0.007333114075787388
RAFT-Stereo,dataset_2_keyframe_4,293721,0.01901319225403919,0.0496461526626079,0.11989674154010273,0.11587605894128188,0.00537371763556424,0.046404260110861684,0.2615270954409116,0.10651945213314676,0.6319534524259416,0.04834860292590588,0.0013209814756180184,0.9503304155984761,0.0,5.787805434408844e-05,0.9999421219456559,0.0,0.0,1.0,0.08344139292933843,0.4404795853707205,0.08097998326794717,-0.14229596618412332,0.16289544779228934,-0.004665412509710469,0.0017429769849382955
StereoAnywhere,dataset_2_keyframe_4,293721,0.01380716670598924,0.047234094254838835,0.12875158459690625,0.11498057607286051,0.007359899064241404,0.017655688590056753,0.2093551363368639,0.11434660783532673,0.6762982558278093,0.022123035125169804,0.0016137763387704658,0.9762631885360598,0.0007966743950892173,2.3832140024036414e-05,0.9991794934648868,0.00011916070012018208,0.0,0.9998808392998798,0.13330611633618503,0.32876231112544335,0.10923836025372853,-0.08882233703307055,0.13952846017841627,0.022466599461609848,-0.024438793343824747
S2M2-S,dataset_3_keyframe_1,490116,0.005571354189421788,0.05142372232224651,0.1232650953548572,0.16588669462068015,0.013576415826221877,0.012622605827648306,0.18059194149956337,0.10060679512605179,0.7188012633743849,0.014498608492683364,0.022243713733075435,0.9632576777742412,0.0002836063299300574,0.0026075459687094483,0.9971088477013605,0.0,8.977466558937069e-05,0.9999102253344107,0.20940283996834352,-0.09321225788583894,-0.07706098301794659,-0.05870241199154481,-0.01354237122870508,0.19840526999279173,-0.20634941439921034
RAFT-Stereo,dataset_3_keyframe_1,490116,-0.008875176232341866,0.05156497639540887,0.19012676018838862,0.12310363784280824,0.007061592781482934,0.0030129192500722977,0.07785911906569057,0.19234426135853552,0.7297966195757739,0.004582588611675604,0.03393482359278212,0.9614825877955423,0.00017954933117874137,0.003050298296729754,0.9967701523720915,4.080666617698668e-06,0.0001509846648548507,0.9998449346685274,0.2489858401860783,-0.5063572924732195,-0.04233162794414871,-0.07636511508440223,0.07226579602589941,-0.23949301344692606,0.24988113515147256
