dataset,backbone,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
SCARED-C-test,StereoAnywhere,a2_no_authorization,0.05,320,4300609,1.0027518274038763,0.9539692341457826,-0.04878259173954788,0.09189814757350587,0.05587580763937537,2.4586054870454577,0.0006319440683387785,0.43242689581870847,0.6075977886744037,0.3808437405363382,0.14788285173182186,0.05743649369413362,0.05,0.021332021802663803,-0.0009736301970406079,0.012994308238849048,0.3083076081976741,0.29234158713108854
SCARED-C-test,StereoAnywhere,m0_scared_only,0.05,320,4300609,1.0027518274038763,0.9693487674152399,-0.033403064288301525,0.09252201223477047,0.05599137262099298,2.4794243658830535,0.00048821939139269535,0.07299036020247365,0.7100664855066693,0.026825102490044793,0.012790068296563477,0.007959550399470435,0.05,0.02064678445458412,-0.00021201549097893372,0.016722126007080094,0.3083076081976741,0.290130227167311
SCARED-C-test,StereoAnywhere,multidomain,0.05,320,4300609,1.0027518274038763,0.9829833586622594,-0.019768470843907114,0.09364603954585249,0.05672312937125932,2.520850488908678,0.00030004377937526723,0.018054652259714844,0.8430569507766015,0.002072118187858489,0.0016757743817827618,0.001914128263967874,0.034375,0.01778215542435646,-0.00011943070239794871,0.009032097337767487,0.3083076081976741,0.2961342689557388
SCARED-C-test,StereoAnywhere,oracle_authorization,0.05,320,4300609,1.0027518274038763,0.9285174203347873,-0.07423440743890122,0.08801032631362954,0.05528077557280103,2.4050779423244664,0.0,0.2694932275870697,0.9749470441808996,0.2249348561071411,0.0,0.031671436197795215,0.0,-0.022775258868932724,-0.029323099460452792,-0.024910818021744486,0.3083076081976741,0.2857439063282304
SCARED-C-test,StereoAnywhere,raw,0.25,320,4038927,0.9147806601746955,0.9147806601746955,0.0,0.08566136494407711,0.0535122319660508,2.380233021330927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947020017153341,0.2947020017153341
SCARED-C-test,StereoAnywhere,a2_no_authorization,0.25,320,4038927,0.9147806601746955,0.8671691060754415,-0.04761154862628159,0.08228571574648887,0.05096353539493118,2.249170164907283,0.0004852470493133739,0.4221420689207802,0.6148031584732209,0.3742373381031552,0.14311004737953323,0.05606821883470088,0.04375,0.022037675604224205,-0.0017695103189907912,0.010046404534950856,0.2947020017153341,0.27930247281225346
SCARED-C-test,StereoAnywhere,m0_scared_only,0.25,320,4038927,0.9147806601746955,0.8827321076188812,-0.03204855135498355,0.08305844593717582,0.051084607255849256,2.273628831304722,0.00035523746101564824,0.06608091703563843,0.7276167495953481,0.02468666964829865,0.011350427694487108,0.007060299812710665,0.04375,0.01871655508875847,-0.00033781252859625953,0.00710614344570786,0.2947020017153341,0.27724628621517744
SCARED-C-test,StereoAnywhere,multidomain,0.25,320,4038927,0.9147806601746955,0.8946303486056318,-0.020150300161093933,0.08414611084900023,0.0517630050798396,2.3133799840643974,0.0002267974090467608,0.01740115629720468,0.85980763211064,0.0018555775214942416,0.0014675312412774685,0.00160225435817845,0.025,0.016509899869561195,-0.00017553310026414683,0.006962606222368783,0.2947020017153341,0.28218053260449644
SCARED-C-test,StereoAnywhere,oracle_authorization,0.25,320,4038927,0.9147806601746955,0.8435544968192176,-0.07122615390699466,0.07913859249164676,0.050504255013659315,2.1976930817316833,0.0,0.2664195218185424,0.9741563813543807,0.22310145175483645,0.0,0.03142311536698921,0.0,-0.02138439007103443,-0.028389554657042022,-0.02434563864022493,0.2947020017153341,0.2729949176398568
SCARED-C-test,StereoAnywhere,raw,0.5,320,2400082,0.9299963128261026,0.9299963128261026,0.0,0.08608705837336549,0.05996211783047614,2.3268280729723942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2815599357478895,0.2815599357478895
