sequence,frames,raw_mc_inconsistency,temporal_module_mc_inconsistency,update_magnitude,support_coverage
specimen_3__2025_05_08-14_39_50__Clip_5__end,6,2.4613501305381456,0.09939297412832578,1.2453012901047866,0.9786008795102438
specimen_3__2025_05_08-14_39_50__Clip_5__start,6,0.20618414878845215,0.07550446068247159,0.13394434191286564,0.9612526098887125
specimen_3__2025_05_08-14_49_00__Clip_1__end,6,0.16218031073609987,0.06563682729999225,0.13335289309422174,0.9587320486704508
specimen_3__2025_05_08-14_49_00__Clip_1__start,6,0.6768997038404146,0.10133809223771095,0.5729311034083366,0.9840792616208395
specimen_3__2025_05_08-14_50_11__Clip_1__end,6,0.172318401436011,0.06719811446964741,0.12311987578868866,0.9667696158091227
specimen_3__2025_05_08-14_50_11__Clip_1__start,6,0.18500127643346786,0.07620592849949996,0.11663101923962434,0.9618055820465088
specimen_3__2025_05_08-14_50_11__Clip_2__end,6,0.1476947454114755,0.09276853191355865,0.0617197643344601,0.9708333611488342
specimen_3__2025_05_08-14_50_11__Clip_2__start,6,0.172318401436011,0.06719811446964741,0.12311987578868866,0.9667696158091227
specimen_3__2025_05_08-14_50_11__Clip_3__end,6,3.8101793924967446,0.23604373467969708,1.9162579669306676,0.9532922307650248
specimen_3__2025_05_08-14_50_11__Clip_3__start,6,0.1476947454114755,0.09276853191355865,0.0617197643344601,0.9708333611488342
specimen_3__2025_05_08-14_50_11__Clip_4__start,6,3.8101793924967446,0.23604373467969708,1.9162579669306676,0.9532922307650248
specimen_3__2025_05_08-14_52_45__Clip_1__start,6,0.20601212109128633,0.06645577649275462,0.1490153210858504,0.9650077621142069
specimen_3__2025_05_08-14_59_26__Clip_2__end,6,8.655533842742443,4.536240086269875,6.053689476645862,0.9845422307650248
specimen_3__2025_05_08-14_59_26__Clip_3__end,6,14.165453677376112,0.6456845952197909,7.204305191834767,0.9830633004506429
specimen_3__2025_05_08-14_59_26__Clip_3__start,6,8.655533842742443,4.536240086269875,6.053689476645862,0.9845422307650248
