dataset,item_id,candidate,comparison,shared_valid_count,shared_valid_ratio,median_disparity_px,mean_local_rgb_l1,mean_ternary_census
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,zivid_scale_1,zivid_scales_common,895,0.03452932098765432,24.490070343017578,0.07888244837522507,0.40595144033432007
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,zivid_scale_0.25,raw_S2M2-S_paired,889,0.034297839506172836,6.122530460357666,0.06812009960412979,0.22546543180942535
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,zivid_scale_1,raw_S2M2-S_paired,889,0.034297839506172836,24.490121841430664,0.07895456254482269,0.40748605132102966
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,raw_S2M2-S,raw_S2M2-S_paired,889,0.034297839506172836,24.04593276977539,0.06468971818685532,0.3631688952445984
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,zivid_scale_0.25,raw_RAFT-Stereo_paired,895,0.03452932098765432,6.1225175857543945,0.06810306012630463,0.22484321892261505
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,zivid_scale_1,raw_RAFT-Stereo_paired,895,0.03452932098765432,24.490070343017578,0.07888244837522507,0.40595144033432007
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,raw_RAFT-Stereo,raw_RAFT-Stereo_paired,895,0.03452932098765432,6.03125,0.007688082288950682,0.0389237217605114
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,zivid_scale_0.25,raw_StereoAnywhere_paired,895,0.03452932098765432,6.1225175857543945,0.06810306012630463,0.22484321892261505
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,zivid_scale_1,raw_StereoAnywhere_paired,895,0.03452932098765432,24.490070343017578,0.07888244837522507,0.40595144033432007
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__start,raw_StereoAnywhere,raw_StereoAnywhere_paired,895,0.03452932098765432,6.0703125,0.007859417237341404,0.04070231318473816
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__end,zivid_scale_0.125,zivid_scales_common,936,0.03611111111111111,3.1062426567077637,0.07972503453493118,0.36960360407829285
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__end,zivid_scale_0.2,zivid_scales_common,936,0.03611111111111111,4.969988822937012,0.07276380062103271,0.2738422155380249
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__end,zivid_scale_0.25,zivid_scales_common,936,0.03611111111111111,6.212485313415527,0.06880765408277512,0.2232687920331955
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__end,zivid_scale_0.333333,zivid_scales_common,936,0.03611111111111111,8.283313751220703,0.07641826570034027,0.3244374692440033
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__end,zivid_scale_0.5,zivid_scales_common,936,0.03611111111111111,12.424970626831055,0.08121589571237564,0.42212846875190735
D4D,specimen_1__2025_03_06-16_56_00__Clip_2__end,zivid_scale_0.75,zivid_scales_common,936,0.03611111111111111,18.6374568939209,0.07880619168281555,0.34677520394325256
