sequence_id,method,frames,depth_mae_mm,disp_mae_px,bad_2mm_pct,raw_temporal_diff,motion_compensated_temporal_mae,runtime_ms,peak_vram_mb
dataset_5_keyframe_3,Fast-FoundationStereo ONNX,12,18.88471531867981,86.4676726659139,96.76853719628275,22.624746929515492,23.071172194047406,45.3597867449459,nan
dataset_5_keyframe_3,S2M2-S@512+EMA0.50,12,5.812176505724589,15.507579803466797,67.98964714967137,1.563552650538358,1.664314486763694,60.974148300906215,371.33447265625
dataset_5_keyframe_3,S2M2-L@736+EMA0.50,12,16.11531400680542,57.80724843343099,96.25287390935705,8.119041334499013,8.468631224198775,187.76713038364855,1672.4599609375
dataset_5_keyframe_3,StereoAnyVideo,12,5.414161562919617,15.677882273991903,67.3879476490378,1.4358572607690638,1.3563378209417516,59.719434667689114,3944.68212890625
dataset_5_keyframe_3,ConvGRU V2 e40,12,16.419416189193726,60.6693811416626,95.5704047706116,15.590751387856223,16.12098841233687,209.67449990253394,2679.9345703125
dataset_8_keyframe_0,S2M2-S@512,12,3.6891260544459024,1.4226374824841816,64.34308808383109,0.2254750200293281,0.23489736833355643,60.974148300906215,371.33447265625
dataset_8_keyframe_0,S2M2-L@736,12,3.2417563796043396,1.2485162715117137,58.99641114520907,0.2318071492693641,0.23676017333160748,187.76713038364855,1672.4599609375
dataset_8_keyframe_0,Fast-FoundationStereo ONNX,12,2.9510347048441568,1.1438253273566563,55.52815599051888,0.24254640665921298,0.2493888708678159,45.3597867449459,nan
dataset_8_keyframe_0,S2M2-S@512+EMA0.50,12,3.561713476975759,1.3718067407608032,62.970970038455,0.12951960279182953,0.14546324515884573,60.974148300906215,371.33447265625
dataset_8_keyframe_0,S2M2-L@736+EMA0.50,12,3.1394426226615906,1.2083485027154286,57.48841164475315,0.12651517377658325,0.13805381818251175,187.76713038364855,1672.4599609375
dataset_8_keyframe_0,StereoAnyVideo,12,2.9843015670776367,1.1486064692338307,55.57652050166221,0.12456003034656699,0.13578055121681906,59.75383683107793,3944.68212890625
dataset_8_keyframe_0,ConvGRU V2 e40,12,3.8311941822369895,1.4476466675599415,68.55072928068556,0.352601711045612,0.33672846311872656,209.72053547813675,2679.9345703125
dataset_8_keyframe_1,S2M2-S@512,12,2.3474678893884025,2.087009757757187,49.229644304979324,0.29526453939351166,0.30499520897865295,60.974148300906215,371.33447265625
dataset_8_keyframe_1,S2M2-L@736,12,2.1567816932996116,1.921686977148056,45.55473147512304,0.28836611861532385,0.29197011617096985,187.76713038364855,1672.4599609375
dataset_8_keyframe_1,Fast-FoundationStereo ONNX,12,1.9435030221939087,1.7523437937100728,38.95339130969666,0.29557244750586426,0.30315027047287335,45.3597867449459,nan
dataset_8_keyframe_1,S2M2-S@512+EMA0.50,12,2.371285170316696,2.0931455989678702,49.38914527439218,0.1927770213647322,0.2096499421379783,60.974148300906215,371.33447265625
