config,frame_index,modified_pixel_ratio,raw_mae,refined_mae,sequence_id
aligned_local_faithful,33,0.48819807171821594,6.488724231719971,6.4666924476623535,dataset_4_keyframe_1
aligned_local_faithful,34,0.4714972972869873,7.346856594085693,7.271965503692627,dataset_4_keyframe_1
aligned_local_faithful,35,0.4365115463733673,6.517982006072998,6.482271671295166,dataset_4_keyframe_1
aligned_local_faithful,36,0.49267324805259705,6.58851432800293,6.5270233154296875,dataset_4_keyframe_1
aligned_local_faithful,37,0.49367713928222656,5.07804012298584,5.050292015075684,dataset_4_keyframe_1
aligned_local_faithful,38,0.4312570095062256,4.883486747741699,4.852238178253174,dataset_4_keyframe_1
aligned_local_faithful,39,0.5677415728569031,5.397870063781738,5.317454814910889,dataset_4_keyframe_1
aligned_local_faithful,40,0.7146680951118469,8.862004280090332,8.685324668884277,dataset_4_keyframe_1
aligned_local_faithful,41,0.4440936744213104,8.09622573852539,8.049373626708984,dataset_4_keyframe_1
aligned_local_faithful,42,0.3861967921257019,7.71005392074585,7.66762113571167,dataset_4_keyframe_1
aligned_local_faithful,43,0.5644369125366211,8.349702835083008,8.268521308898926,dataset_4_keyframe_1
aligned_local_faithful,44,0.5006629228591919,7.278454303741455,7.23828649520874,dataset_4_keyframe_1
aligned_local_faithful,45,0.42529305815696716,6.705938339233398,6.668245792388916,dataset_4_keyframe_1
aligned_local_faithful,46,0.5758870244026184,8.463632583618164,8.3580904006958,dataset_4_keyframe_1
aligned_local_faithful,47,0.5402998924255371,8.4061279296875,8.346080780029297,dataset_4_keyframe_1
aligned_local_faithful,48,0.5175917744636536,8.305893898010254,8.23516845703125,dataset_4_keyframe_1
aligned_local_faithful,49,0.5365159511566162,9.598459243774414,9.49167537689209,dataset_4_keyframe_1
aligned_local_faithful,50,0.5453885793685913,10.562911033630371,10.456375122070312,dataset_4_keyframe_1
aligned_local_faithful,51,0.5192330479621887,8.1808500289917,8.148563385009766,dataset_4_keyframe_1
aligned_local_faithful,52,0.4688861668109894,5.988962173461914,5.9698486328125,dataset_4_keyframe_1
aligned_local_faithful,53,0.3991442024707794,5.4549760818481445,5.410233497619629,dataset_4_keyframe_1
aligned_local_faithful,54,0.45792001485824585,5.768195152282715,5.682592391967773,dataset_4_keyframe_1
aligned_local_faithful,55,0.5050954222679138,4.419951438903809,4.380388259887695,dataset_4_keyframe_1
aligned_local_faithful,56,0.8845838904380798,12.995811462402344,12.584098815917969,dataset_4_keyframe_1
aligned_local_faithful,57,0.5892904996871948,10.22692584991455,10.181058883666992,dataset_4_keyframe_1
aligned_local_faithful,58,0.5414919853210449,8.088088035583496,8.04584789276123,dataset_4_keyframe_1
aligned_local_faithful,59,0.44367218017578125,8.081570625305176,8.00793170928955,dataset_4_keyframe_1
aligned_local_faithful,60,0.3752511441707611,7.700681686401367,7.642340660095215,dataset_4_keyframe_1
aligned_local_faithful,61,0.442731648683548,7.618461608886719,7.5500030517578125,dataset_4_keyframe_1
aligned_local_faithful,62,0.5647810101509094,9.47193431854248,9.284246444702148,dataset_4_keyframe_1
aligned_local_faithful,63,0.5021752715110779,10.727934837341309,10.576839447021484,dataset_4_keyframe_1
aligned_local_faithful,64,0.6311241388320923,13.034028053283691,12.84345817565918,dataset_4_keyframe_1
aligned_local_faithful,65,0.5034027695655823,14.101887702941895,13.954952239990234,dataset_4_keyframe_1
aligned_local_faithful,66,0.5161039233207703,11.83201789855957,11.758810997009277,dataset_4_keyframe_1
aligned_local_faithful,67,0.4085581600666046,10.510710716247559,10.417009353637695,dataset_4_keyframe_1
aligned_local_faithful,68,0.4649460017681122,10.725910186767578,10.598424911499023,dataset_4_keyframe_1
