split,sequence,backbone,horizon,method,metric,aggregation,value,support
d7,dataset_7_keyframe_2,S2M2-S,4,raw,OPW_px,macro_sequence,0.1381936279585467,140775
d7,dataset_7_keyframe_2,S2M2-S,4,raw,OPW_px,value,0.1381936279585467,140775
d7,dataset_7_keyframe_2,S2M2-S,4,refined,TEPE_corr_px,macro_sequence,0.07703151666298787,140775
d7,dataset_7_keyframe_2,S2M2-S,4,refined,TEPE_corr_px,value,0.07703151666298787,140775
d7,dataset_7_keyframe_2,S2M2-S,4,refined,OPW_px,macro_sequence,0.1293418280842503,140775
d7,dataset_7_keyframe_2,S2M2-S,4,refined,OPW_px,value,0.1293418280842503,140775
d7,dataset_7_keyframe_2,S2M2-S,8,raw,TEPE_corr_px,macro_sequence,0.09000607963597512,111538
d7,dataset_7_keyframe_2,S2M2-S,8,raw,TEPE_corr_px,value,0.09000607963597512,111538
d7,dataset_7_keyframe_2,S2M2-S,8,raw,OPW_px,macro_sequence,0.23802675177662003,111538
d7,dataset_7_keyframe_2,S2M2-S,8,raw,OPW_px,value,0.23802675177662003,111538
d7,dataset_7_keyframe_2,S2M2-S,8,refined,TEPE_corr_px,macro_sequence,0.08658936282612786,111538
d7,dataset_7_keyframe_2,S2M2-S,8,refined,TEPE_corr_px,value,0.08658936282612786,111538
d7,dataset_7_keyframe_2,S2M2-S,8,refined,OPW_px,macro_sequence,0.23133007894253774,111538
d7,dataset_7_keyframe_2,S2M2-S,8,refined,OPW_px,value,0.23133007894253774,111538
d7,dataset_7_keyframe_2,RAFT-Stereo,1,raw,TEPE_corr_px,macro_sequence,0.08108666925621841,162512
d7,dataset_7_keyframe_2,RAFT-Stereo,1,raw,TEPE_corr_px,value,0.08108666925621841,162512
d7,dataset_7_keyframe_2,RAFT-Stereo,1,raw,OPW_px,macro_sequence,0.0794945275283557,162512
d7,dataset_7_keyframe_2,RAFT-Stereo,1,raw,OPW_px,value,0.0794945275283557,162512
d7,dataset_7_keyframe_2,RAFT-Stereo,1,refined,TEPE_corr_px,macro_sequence,0.06308983985370945,162512
d7,dataset_7_keyframe_2,RAFT-Stereo,1,refined,TEPE_corr_px,value,0.06308983985370945,162512
d7,dataset_7_keyframe_2,RAFT-Stereo,1,refined,OPW_px,macro_sequence,0.058524126513943,162512
d7,dataset_7_keyframe_2,RAFT-Stereo,1,refined,OPW_px,value,0.058524126513943,162512
d7,dataset_7_keyframe_2,RAFT-Stereo,2,raw,TEPE_corr_px,macro_sequence,0.08375921045948578,158773
d7,dataset_7_keyframe_2,RAFT-Stereo,2,raw,TEPE_corr_px,value,0.08375921045948578,158773
d7,dataset_7_keyframe_2,RAFT-Stereo,2,raw,OPW_px,macro_sequence,0.09790850350291161,158773
d7,dataset_7_keyframe_2,RAFT-Stereo,2,raw,OPW_px,value,0.09790850350291161,158773
d7,dataset_7_keyframe_2,RAFT-Stereo,2,refined,TEPE_corr_px,macro_sequence,0.07659000746536637,158773
d7,dataset_7_keyframe_2,RAFT-Stereo,2,refined,TEPE_corr_px,value,0.07659000746536637,158773
d7,dataset_7_keyframe_2,RAFT-Stereo,2,refined,OPW_px,macro_sequence,0.08642050089707011,158773
d7,dataset_7_keyframe_2,RAFT-Stereo,2,refined,OPW_px,value,0.08642050089707011,158773
d7,dataset_7_keyframe_2,RAFT-Stereo,4,raw,TEPE_corr_px,macro_sequence,0.09423994391537373,140775
d7,dataset_7_keyframe_2,RAFT-Stereo,4,raw,TEPE_corr_px,value,0.09423994391537373,140775
d7,dataset_7_keyframe_2,RAFT-Stereo,4,raw,OPW_px,macro_sequence,0.14459575517587014,140775
d7,dataset_7_keyframe_2,RAFT-Stereo,4,raw,OPW_px,value,0.14459575517587014,140775
d7,dataset_7_keyframe_2,RAFT-Stereo,4,refined,TEPE_corr_px,macro_sequence,0.08680860397468937,140775
d7,dataset_7_keyframe_2,RAFT-Stereo,4,refined,TEPE_corr_px,value,0.08680860397468937,140775
d7,dataset_7_keyframe_2,RAFT-Stereo,4,refined,OPW_px,macro_sequence,0.13546553025595398,140775
d7,dataset_7_keyframe_2,RAFT-Stereo,4,refined,OPW_px,value,0.13546553025595398,140775
d7,dataset_7_keyframe_2,RAFT-Stereo,8,raw,TEPE_corr_px,macro_sequence,0.10415771192479077,111538
d7,dataset_7_keyframe_2,RAFT-Stereo,8,raw,TEPE_corr_px,value,0.10415771192479077,111538
d7,dataset_7_keyframe_2,RAFT-Stereo,8,raw,OPW_px,macro_sequence,0.24198442080947363,111538
d7,dataset_7_keyframe_2,RAFT-Stereo,8,raw,OPW_px,value,0.24198442080947363,111538
d7,dataset_7_keyframe_2,RAFT-Stereo,8,refined,TEPE_corr_px,macro_sequence,0.09779649094915045,111538
d7,dataset_7_keyframe_2,RAFT-Stereo,8,refined,TEPE_corr_px,value,0.09779649094915045,111538
d7,dataset_7_keyframe_2,RAFT-Stereo,8,refined,OPW_px,macro_sequence,0.2334698157962098,111538
d7,dataset_7_keyframe_2,RAFT-Stereo,8,refined,OPW_px,value,0.2334698157962098,111538
d7,dataset_7_keyframe_2,StereoAnywhere,1,raw,TEPE_corr_px,macro_sequence,0.07777402051100525,162512
d7,dataset_7_keyframe_2,StereoAnywhere,1,raw,TEPE_corr_px,value,0.07777402051100525,162512
d7,dataset_7_keyframe_2,StereoAnywhere,1,raw,OPW_px,macro_sequence,0.0767722980348428,162512
d7,dataset_7_keyframe_2,StereoAnywhere,1,raw,OPW_px,value,0.0767722980348428,162512
d7,dataset_7_keyframe_2,StereoAnywhere,1,refined,TEPE_corr_px,macro_sequence,0.06216073127739822,162512
d7,dataset_7_keyframe_2,StereoAnywhere,1,refined,TEPE_corr_px,value,0.06216073127739822,162512
d7,dataset_7_keyframe_2,StereoAnywhere,1,refined,OPW_px,macro_sequence,0.05791924675407402,162512
d7,dataset_7_keyframe_2,StereoAnywhere,1,refined,OPW_px,value,0.05791924675407402,162512
d7,dataset_7_keyframe_2,StereoAnywhere,2,raw,TEPE_corr_px,macro_sequence,0.08421906077182223,158773
d7,dataset_7_keyframe_2,StereoAnywhere,2,raw,TEPE_corr_px,value,0.08421906077182223,158773
d7,dataset_7_keyframe_2,StereoAnywhere,2,raw,OPW_px,macro_sequence,0.09968491681700738,158773
d7,dataset_7_keyframe_2,StereoAnywhere,2,raw,OPW_px,value,0.09968491681700738,158773
d7,dataset_7_keyframe_2,StereoAnywhere,2,refined,TEPE_corr_px,macro_sequence,0.07885901976736014,158773
d7,dataset_7_keyframe_2,StereoAnywhere,2,refined,TEPE_corr_px,value,0.07885901976736014,158773
d7,dataset_7_keyframe_2,StereoAnywhere,2,refined,OPW_px,macro_sequence,0.0895868137485492,158773
d7,dataset_7_keyframe_2,StereoAnywhere,2,refined,OPW_px,value,0.0895868137485492,158773
d7,dataset_7_keyframe_2,StereoAnywhere,4,raw,TEPE_corr_px,macro_sequence,0.09832603562642447,140775
d7,dataset_7_keyframe_2,StereoAnywhere,4,raw,TEPE_corr_px,value,0.09832603562642447,140775
d7,dataset_7_keyframe_2,StereoAnywhere,4,raw,OPW_px,macro_sequence,0.1487565754175906,140775
d7,dataset_7_keyframe_2,StereoAnywhere,4,raw,OPW_px,value,0.1487565754175906,140775
d7,dataset_7_keyframe_2,StereoAnywhere,4,refined,TEPE_corr_px,macro_sequence,0.094566754476784,140775
d7,dataset_7_keyframe_2,StereoAnywhere,4,refined,TEPE_corr_px,value,0.094566754476784,140775
d7,dataset_7_keyframe_2,StereoAnywhere,4,refined,OPW_px,macro_sequence,0.14330215682400796,140775
d7,dataset_7_keyframe_2,StereoAnywhere,4,refined,OPW_px,value,0.14330215682400796,140775
d7,dataset_7_keyframe_2,StereoAnywhere,8,raw,TEPE_corr_px,macro_sequence,0.11050156924412881,111538
d7,dataset_7_keyframe_2,StereoAnywhere,8,raw,TEPE_corr_px,value,0.11050156924412881,111538
d7,dataset_7_keyframe_2,StereoAnywhere,8,raw,OPW_px,macro_sequence,0.24825812035070013,111538
d7,dataset_7_keyframe_2,StereoAnywhere,8,raw,OPW_px,value,0.24825812035070013,111538
d7,dataset_7_keyframe_2,StereoAnywhere,8,refined,TEPE_corr_px,macro_sequence,0.10850978990148263,111538
