backbone,sequence,support_coverage
CREStereo,dataset_7_keyframe_1,0.9953232462173315
CREStereo,dataset_7_keyframe_1,0.9973024008632317
CREStereo,dataset_7_keyframe_1,0.9954739084132055
CREStereo,dataset_7_keyframe_1,0.9971888576539739
CREStereo,dataset_7_keyframe_1,0.9964726631393298
CREStereo,dataset_7_keyframe_1,0.9965269163979161
CREStereo,dataset_7_keyframe_1,0.9959055876685935
CREStereo,dataset_7_keyframe_1,0.9948174322732627
CREStereo,dataset_7_keyframe_1,0.9947703501591633
CREStereo,dataset_7_keyframe_1,0.9964253798033958
CREStereo,dataset_7_keyframe_1,0.9941137998691956
CREStereo,dataset_7_keyframe_1,0.995295124037639
CREStereo,dataset_7_keyframe_1,0.9951640033641715
CREStereo,dataset_7_keyframe_1,0.9939011994307786
CREStereo,dataset_7_keyframe_1,0.9953403565640194
CREStereo,dataset_7_keyframe_1,0.9922264301375324
CREStereo,dataset_7_keyframe_1,0.9943513829372809
CREStereo,dataset_7_keyframe_1,0.9937262357414449
CREStereo,dataset_7_keyframe_1,0.9949485500467727
CREStereo,dataset_7_keyframe_1,0.9940674823878384
CREStereo,dataset_7_keyframe_1,0.9940944881889764
CREStereo,dataset_7_keyframe_1,0.9954047366560622
CREStereo,dataset_7_keyframe_1,0.9945036070079011
CREStereo,dataset_7_keyframe_1,0.9961194533490805
CREStereo,dataset_7_keyframe_1,0.9963467286615743
CREStereo,dataset_7_keyframe_1,0.9954947707160097
CREStereo,dataset_7_keyframe_1,0.9947191550648103
CREStereo,dataset_7_keyframe_1,0.9973045822102425
CREStereo,dataset_7_keyframe_1,0.9981102362204725
CREStereo,dataset_7_keyframe_1,0.9978206724782067
CREStereo,dataset_7_keyframe_1,0.9973874289226986
CREStereo,dataset_7_keyframe_1,0.9984667279975468
CREStereo,dataset_7_keyframe_1,0.997869101978691
CREStereo,dataset_7_keyframe_1,0.9988075719183187
CREStereo,dataset_7_keyframe_1,0.9991108476585655
CREStereo,dataset_7_keyframe_1,0.9984011627906977
CREStereo,dataset_7_keyframe_1,0.9981359334671638
CREStereo,dataset_7_keyframe_1,0.9968878200594143
CREStereo,dataset_7_keyframe_1,0.9964428002276607
CREStereo,dataset_7_keyframe_1,0.9937369519832986
CREStereo,dataset_7_keyframe_1,0.9933564013840831
CREStereo,dataset_7_keyframe_1,0.9923964697895451
CREStereo,dataset_7_keyframe_1,0.992027027027027
CREStereo,dataset_7_keyframe_1,0.9922126745435016
CREStereo,dataset_7_keyframe_1,0.9918785780854746
CREStereo,dataset_7_keyframe_1,0.9912802219579865
CREStereo,dataset_7_keyframe_1,0.9905009759271308
CREStereo,dataset_7_keyframe_1,0.9912623891497131
CREStereo,dataset_7_keyframe_1,0.9910588836377571
CREStereo,dataset_7_keyframe_1,0.9899396378269618
CREStereo,dataset_7_keyframe_1,0.9898414271555996
CREStereo,dataset_7_keyframe_1,0.9906762804574838
CREStereo,dataset_7_keyframe_1,0.9919194430631526
CREStereo,dataset_7_keyframe_1,0.9916604431167538
CREStereo,dataset_7_keyframe_1,0.9907914385266302
CREStereo,dataset_7_keyframe_1,0.9922100766427944
CREStereo,dataset_7_keyframe_1,0.9924053784860558
CREStereo,dataset_7_keyframe_1,0.9932135226844288
CREStereo,dataset_7_keyframe_1,0.993249156144518
CREStereo,dataset_7_keyframe_1,0.9945699123781315
CREStereo,dataset_7_keyframe_1,0.9954422271495442
CREStereo,dataset_7_keyframe_1,0.995985401459854
CREStereo,dataset_7_keyframe_1,0.9963798720888138
CREStereo,dataset_7_keyframe_1,0.9976136499224436
CREStereo,dataset_7_keyframe_1,0.9958387825466651
CREStereo,dataset_7_keyframe_1,0.9967170828936569
CREStereo,dataset_7_keyframe_1,0.9960178027641133
CREStereo,dataset_7_keyframe_1,0.9973781432487189
CREStereo,dataset_7_keyframe_1,0.9972339146121467
CREStereo,dataset_7_keyframe_1,0.9975651327002678
CREStereo,dataset_7_keyframe_1,0.9979987492182614
CREStereo,dataset_7_keyframe_1,0.9991164962766629
CREStereo,dataset_7_keyframe_1,0.9993565821644576
CREStereo,dataset_7_keyframe_1,0.995253164556962
