namespace,coverage_threshold,backbone,sequence,method,epe,bad1,bad3,absrel,boundary_epe,false_update_rate,clean_degradation_ratio,clean_update_mean,new_bad3,valid_count,clean_count,raw_good3_count,boundary_count,common_valid_ratio,frames,frames_worsened_ratio,worst_frame_degradation,p95_frame_degradation
cache,0.05,RAFT-Stereo,dataset_7_keyframe_1,memory,0.22145522567135484,0.020757950866501618,0.003233457771136546,0.020765036453378145,0.27998529666502536,0.4573446771426925,0.3857233296680136,0.06963327477879702,0.00040900260587848627,2735771,2533658,2726144,1662317,0.824583755304784,128,0.5078125,0.04810154438018799,0.02372482717037201
cache,0.05,RAFT-Stereo,dataset_7_keyframe_1,blend_0.1,0.22017175632390873,0.021018206567728074,0.0034538709563044566,0.020540303107972,0.27987044004216777,0.006622046069359006,0.020068612259428856,0.0069633689955196434,1.357228378251479e-05,2735771,2533658,2726144,1662317,0.824583755304784,128,0.125,0.0025655627250671387,0.000697952508926391
cache,0.05,RAFT-Stereo,dataset_7_keyframe_1,blend_0.25,0.21848900043529224,0.020664010255244315,0.003350426625620346,0.020369896982631756,0.27774126476413197,0.051777706383418755,0.11580647427553363,0.01740831901335639,3.411411869659123e-05,2735771,2533658,2726144,1662317,0.824583755304784,128,0.15625,0.007799416780471802,0.0026449494063854207
cache,0.05,RAFT-Stereo,dataset_7_keyframe_1,blend_0.5,0.21740553614207297,0.0202356118256974,0.003155234849700505,0.020274450211816227,0.2761622333645124,0.19944088744416177,0.25451659221568185,0.034816637555905,0.00010931190722133534,2735771,2533658,2726144,1662317,0.824583755304784,128,0.2734375,0.018842726945877075,0.007717772573232637
cache,0.05,RAFT-Stereo,dataset_7_keyframe_1,heuristic_gate,0.21751638316520502,0.02036208439960801,0.0032323611881257606,0.02028334732906625,0.2763861635702861,0.14971712835749734,0.21837319796120866,0.0293161294113389,7.299687764109306e-05,2735771,2533658,2726144,1662317,0.824583755304784,128,0.265625,0.0156906396150589,0.005101421475410461
cache,0.05,RAFT-Stereo,dataset_7_keyframe_1,learned_refiner,0.24190226319263286,0.021846492268541483,0.003336171046480133,0.02106437706114657,0.315215154792846,0.6462707279356567,0.37836045748873764,0.13139726280067265,8.656916142360786e-05,2735771,2533658,2726144,1662317,0.824583755304784,128,0.578125,0.11713364720344543,0.09961975365877151
cache,0.05,RAFT-Stereo,dataset_7_keyframe_1,oracle,0.18509231552206518,0.016758347098496183,0.0028258944187945557,0.01705313507693531,0.23744668381290024,0.21217346618999092,0.0,0.030216410845303018,0.0,2735771,2533658,2726144,1662317,0.824583755304784,128,0.0,-0.02094292640686035,-0.023316766321659098
cache,0.25,RAFT-Stereo,dataset_7_keyframe_1,raw,0.19486371565770227,0.014170208762107298,0.0029218290823620546,0.01896392414348209,0.23948584356640557,0.0,0.0,0.0,0.0,2189382,2074302,2182985,1373767,0.6598976417824074,128,0.0,0.0,0.0
cache,0.25,RAFT-Stereo,dataset_7_keyframe_1,memory,0.1953903060452289,0.013887937326606321,0.0027299941261963423,0.019088607594424715,0.23960238176606932,0.4425811670624625,0.37749276624136696,0.06619288816821384,0.0002798919827667162,2189382,2074302,2182985,1373767,0.6598976417824074,128,0.5546875,0.04677879810333252,0.020809108018875117
cache,0.25,RAFT-Stereo,dataset_7_keyframe_1,blend_0.1,0.1934174970837171,0.013905293822640361,0.0028784378422769532,0.018806845410424905,0.2378299904048803,0.005332878240487644,0.017516253660267406,0.006619325754207217,8.24559032700637e-06,2189382,2074302,2182985,1373767,0.6598976417824074,128,0.1328125,0.0026426613330841064,0.0006977744400501237
